"from" "to" "time" "support" "generations" "fromT" "toT"
"45" 60 45 13 0.288557213930348 1 111 67
"46" 42 46 10 0.288557213930348 1 28 68
"47" 43 47 10 0.318407960199005 1 29 27
"48" 50 48 12 0.218905472636816 1 108 63
"49" 48 49 14 0.736318407960199 1 63 21
"50" 48 50 14 0.781094527363184 1 63 108
"51" 52 51 11 0.990049751243781 1 64 22
"52" 43 52 9 0.497512437810945 1 29 64
"53" 52 53 11 0.990049751243781 1 64 23
"54" 57 54 11 0.895522388059702 1 24 65
"55" 54 55 13 0.54726368159204 1 65 110
"56" 55 56 14 0.477611940298507 1 110 109
"57" 43 57 8 0.512437810945274 1 29 24
"58" 43 58 9 0.437810945273632 1 29 25
"59" 43 59 9 0.437810945273632 1 29 26
"60" 42 60 11 0.283582089552239 1 28 111
"61" 63 61 12 0.970149253731343 1 121 66
"62" 63 62 14 0.995024875621891 1 121 120
"63" 43 63 11 0.313432835820896 1 29 121
"64" 78 64 14 0.288557213930348 1 58 20
"65" 121 65 2 0.875621890547264 1 45 1
"66" 70 66 12 0.288557213930348 1 56 18
"67" 71 67 10 0.527363184079602 1 19 60
"68" 70 68 12 0.26865671641791 1 56 61
"69" 70 69 13 0.278606965174129 1 56 57
"70" 71 70 10 0.746268656716418 1 19 56
"71" 65 71 7 0.935323383084577 1 1 19
"72" 78 72 15 0.26865671641791 1 58 62
"73" 77 73 14 0.308457711442786 1 59 107
"74" 71 74 9 0.681592039800995 1 19 17
"75" 74 75 13 1 1 17 106
"76" 74 76 13 1 1 17 105
"77" 70 77 12 0.45771144278607 1 56 59
"78" 70 78 12 0.323383084577114 1 56 58
"79" 85 79 11 0.283582089552239 1 47 11
"80" 81 80 14 0.82089552238806 1 96 97
"81" 80 81 12 0.17910447761194 1 97 96
"82" 81 82 14 0.761194029850746 1 96 118
"83" 85 83 12 0.233830845771144 1 47 46
"84" 83 84 14 1 1 46 98
"85" 89 85 9 0.442786069651741 1 101 47
"86" 90 86 12 0.208955223880597 1 99 102
"87" 85 87 11 0.238805970149254 1 47 100
"88" 85 88 13 0.199004975124378 1 47 119
"89" 121 89 8 0.567164179104478 1 45 101
"90" 89 90 11 0.313432835820896 1 101 99
"91" 87 91 14 0.169154228855721 1 100 123
"92" 94 92 14 0.378109452736318 1 86 84
"93" 94 93 14 0.393034825870647 1 86 39
"94" 96 94 12 0.517412935323383 1 3 86
"95" 94 95 13 0.407960199004975 1 86 85
"96" 121 96 2 0.875621890547264 1 45 3
"97" 98 97 11 1 1 7 83
"98" 96 98 4 1 1 3 7
"99" 94 99 14 0.348258706467662 1 86 82
"100" 94 100 13 0.373134328358209 1 86 122
"101" 85 101 13 0.199004975124378 1 47 114
"102" 108 102 8 0.985074626865672 1 4 91
